2026-02-09T20:01:13.822Z | COMPACTION | trigger=manual
2026-02-09T20:17:23.586Z | COMPACTION | trigger=test
2026-02-09T20:33:16.248Z | COMPACTION | trigger=test
2026-02-09T21:17:07.845Z | COMPACTION | trigger=test
2026-02-10T07:10:37.450Z | COMPACTION | trigger=test
2026-02-10T07:11:59.356Z | COMPACTION | trigger=test
2026-02-22T00:47:57.479Z | COMPACTION | trigger=auto
2026-02-22T01:05:36.767Z | COMPACTION | trigger=auto
2026-02-22T02:41:54.524Z | COMPACTION | trigger=auto
2026-02-22T03:20:05.151Z | COMPACTION | trigger=auto
2026-02-22T04:02:12.629Z | COMPACTION | trigger=auto
2026-02-22T04:34:58.625Z | COMPACTION | trigger=auto
2026-02-22T05:14:20.784Z | COMPACTION | trigger=auto
2026-02-23T23:34:04.469Z | COMPACTION | trigger=auto
